seller_id,origin,lead_type,business_segment,order_count,gmv,avg_review_score,avg_order_value
1f7dfad2cb384ea4d2d7e1ffbd78c407,unknown,industry,toys,1,57.29,1.0,57.29
f9eda05b67bef472deaddbba84aca289,paid_search,offline,watches,1,236.79,1.0,236.79
c004e5ea15737026cecaee0447e00b75,paid_search,offline,construction_tools_house_garden,2,4874.32,1.0,2437.16
1444c08e64d55fb3c25f0f09c07ffcf2,organic_search,online_beginner,car_accessories,1,2818.74,1.0,2818.74
1b4b28463457a256e9a784ebe2a8f630,unknown,online_medium,car_accessories,1,715.3399999999999,1.0,715.34
bc8c8d665ec4664d286be0d521722b19,organic_search,online_medium,food_drink,1,30.82,2.0,30.82
299c89a525fee36c567f4fe72f038100,organic_search,online_big,audio_video_electronics,2,757.75,2.0,378.88
94165aea8a35c3c21499cbcae239b16c,paid_search,online_medium,car_accessories,1,196.11,2.0,196.11
88ef59b51bdaa941d10a853429f2b6ce,organic_search,online_medium,audio_video_electronics,2,294.7,2.0,147.35
bf0d50a6410d487dc97d2baac0a8c0be,organic_search,online_medium,home_decor,1,37.16,2.0,37.16
9da15f4a4ea758d9eeb49000dbe57e22,unknown,online_medium,home_decor,1,234.61,2.0,234.61
